DC Pavadinimas,Prastovos gr.,Laikas (min.),Viso laikas DC,Proc. %,YYYY,,,,,
Linija Homag_4,21,5135,175810,2.92%,2015,,,,21,Nëra gamybinës uþduoties
Linija Homag_4,32,43335,175810,24.65%,2015,,,,32,Darbas sumaþintu greièiu
Linija Homag_4,99,359,175810,0.20%,2015,,,,99,Fiksavimo sistemos klaida
Linija Homag_4,49,2189,175810,1.25%,2015,,,,49,
Linija Homag_4,RU,54438,175810,30.96%,2015,,,,RU,Efektyvus darbas
Linija Homag_4,43,800,175810,0.46%,2015,,,,43,Gamybinis susirinkimas
Linija Homag_4,47,5924,175810,3.37%,2015,,,,47,
Linija Homag_4,41,22545,175810,12.82%,2015,,,,41,
Linija Homag_4,22,13984,175810,7.95%,2015,,,,22,Testavimas / bandymas
Linija Homag_4,52,14996,175810,8.53%,2015,,,,52,Árangos gedimas
Linija Homag_4,44,5126,175810,2.92%,2015,,,,44,Árankiø keitimas
Linija Homag_4,46,3906,175810,2.22%,2015,,,,46,Árangos valymas / prieþiûra
Linija Homag_4,45,2840,175810,1.61%,2015,,,,45,Profilaktika
Linija Homag_4,92,180,175810,0.10%,2015,,,,92,
Linija Homag_4,48,21,175810,0.01%,2015,,,,48,Gamybiniø iðtekliø trûkumas
Linija Homag_4,91,29,175810,0.02%,2015,,,,91,
Linija Homag_4,31,11,175810,0.01%,2015,,,,31,
Linija Homag_4,21,28731,527717,5.44%,2016,,,,93,
Linija Homag_4,32,148237,527717,28.09%,2016,,,,10,
Linija Homag_4,99,10655,527717,2.02%,2016,,,,94,
Linija Homag_4,49,-56649,527717,-10.73%,2016,,,,,
Linija Homag_4,RU,251293,527717,47.62%,2016,,,,,
Linija Homag_4,43,1181,527717,0.22%,2016,,,,,
Linija Homag_4,47,5586,527717,1.06%,2016,,,,,
Linija Homag_4,41,60860,527717,11.53%,2016,,,,,
Linija Homag_4,22,7516,527717,1.42%,2016,,,,,
Linija Homag_4,52,28675,527717,5.43%,2016,,,,,
Linija Homag_4,44,15231,527717,2.89%,2016,,,,,
Linija Homag_4,46,15692,527717,2.97%,2016,,,,,
Linija Homag_4,45,9171,527717,1.74%,2016,,,,,
Linija Homag_4,92,755,527717,0.14%,2016,,,,,
Linija Homag_4,48,251,527717,0.05%,2016,,,,,
Linija Homag_4,91,282,527717,0.05%,2016,,,,,
Linija Homag_4,93,241,527717,0.05%,2016,,,,,
Linija Homag_4,31,8,527717,0.00%,2016,,,,,
Linija Homag_4,10,11,527717,0.00%,2016,,,,,
Linija Homag_4,21,23430,525140,4.46%,2017,,,,,
Linija Homag_4,32,119249,525140,22.71%,2017,,,,,
Linija Homag_4,99,4082,525140,0.78%,2017,,,,,
Linija Homag_4,49,847,525140,0.16%,2017,,,,,
Linija Homag_4,RU,220445,525140,41.98%,2017,,,,,
Linija Homag_4,43,1608,525140,0.31%,2017,,,,,
Linija Homag_4,47,11515,525140,2.19%,2017,,,,,
Linija Homag_4,41,65578,525140,12.49%,2017,,,,,
Linija Homag_4,22,10923,525140,2.08%,2017,,,,,
Linija Homag_4,52,30003,525140,5.71%,2017,,,,,
Linija Homag_4,44,12820,525140,2.44%,2017,,,,,
Linija Homag_4,46,11416,525140,2.17%,2017,,,,,
Linija Homag_4,45,10079,525140,1.92%,2017,,,,,
Linija Homag_4,92,2314,525140,0.44%,2017,,,,,
Linija Homag_4,48,58,525140,0.01%,2017,,,,,
Linija Homag_4,91,105,525140,0.02%,2017,,,,,
Linija Homag_4,93,506,525140,0.10%,2017,,,,,
Linija Homag_4,94,13,525140,0.00%,2017,,,,,
Linija Homag_4,31,159,525140,0.03%,2017,,,,,
