Operacijø grupës;Periodas;Apkrova
Pjovimas;18M09;0,61
Pjovimas;18M10;0,75
Pjovimas;18M11;0,7
Pjovimas;18M12;0,67
Pjovimas;19M01;0,69
Pjovimas;19M02;0,51
Pjovimas;19M03;0,51
Pjovimas;19M04;0,39
Pjovimas;19M05;0,36
Pjovimas;19M06;0,4
Pjovimas;19M07;0,43
Pjovimas;19M08;0,43
Skersavimas;18M09;0,34
Skersavimas;18M10;0,56
Skersavimas;18M11;0,9
Skersavimas;18M12;0,83
Skersavimas;19M01;0,64
Skersavimas;19M02;0,68
Skersavimas;19M03;0,76
Skersavimas;19M04;0,62
Skersavimas;19M05;0,51
Skersavimas;19M06;0,55
Skersavimas;19M07;0,69
Skersavimas;19M08;0,66
Siauras vilkimas;18M09;0,52
Siauras vilkimas;18M10;0,62
Siauras vilkimas;18M11;0,79
Siauras vilkimas;18M12;0,72
Siauras vilkimas;19M01;0,98
Siauras vilkimas;19M02;1,08
Siauras vilkimas;19M03;0,9
Siauras vilkimas;19M04;1,01
Siauras vilkimas;19M05;0,89
Siauras vilkimas;19M06;1,13
Siauras vilkimas;19M07;1,42
Siauras vilkimas;19M08;1,4
Siauras pjovimas;18M09;0,57
Siauras pjovimas;18M10;0,69
Siauras pjovimas;18M11;0,94
Siauras pjovimas;18M12;0,88
Siauras pjovimas;19M01;0,92
Siauras pjovimas;19M02;1,13
Siauras pjovimas;19M03;0,89
Siauras pjovimas;19M04;0,92
Siauras pjovimas;19M05;0,68
Siauras pjovimas;19M06;1,12
Siauras pjovimas;19M07;1,17
Siauras pjovimas;19M08;1,18
CNC;18M09;0,35
CNC;18M10;0,38
CNC;18M11;0,83
CNC;18M12;0,94
CNC;19M01;0,54
CNC;19M02;0,77
CNC;19M03;1,03
CNC;19M04;0,72
CNC;19M05;0,62
CNC;19M06;0,71
CNC;19M07;0,95
CNC;19M08;0,9
Rëmø tvërimas;18M09;0,23
Rëmø tvërimas;18M10;0,26
Rëmø tvërimas;18M11;0,63
Rëmø tvërimas;18M12;0,54
Rëmø tvërimas;19M01;0,46
Rëmø tvërimas;19M02;0,67
Rëmø tvërimas;19M03;0,48
Rëmø tvërimas;19M04;0,58
Rëmø tvërimas;19M05;0,54
Rëmø tvërimas;19M06;0,59
Rëmø tvërimas;19M07;0,76
Rëmø tvërimas;19M08;0,77
Ávoriø sukimas;18M09;0,29
Ávoriø sukimas;18M10;0,32
Ávoriø sukimas;18M11;0,65
Ávoriø sukimas;18M12;0,55
Ávoriø sukimas;19M01;0,42
Ávoriø sukimas;19M02;0,58
Ávoriø sukimas;19M03;0,49
Ávoriø sukimas;19M04;0,6
Ávoriø sukimas;19M05;0,61
Ávoriø sukimas;19M06;0,64
Ávoriø sukimas;19M07;0,92
Ávoriø sukimas;19M08;0,92
Siaurø elementø græþimas;18M09;0,56
Siaurø elementø græþimas;18M10;0,65
Siaurø elementø græþimas;18M11;0,99
Siaurø elementø græþimas;18M12;1,03
Siaurø elementø græþimas;19M01;0,89
Siaurø elementø græþimas;19M02;1,01
Siaurø elementø græþimas;19M03;0,84
Siaurø elementø græþimas;19M04;0,8
Siaurø elementø græþimas;19M05;0,72
Siaurø elementø græþimas;19M06;0,83
Siaurø elementø græþimas;19M07;0,85
Siaurø elementø græþimas;19M08;0,77
Siaurø elementø briaunavimas;18M09;0,23
Siaurø elementø briaunavimas;18M10;0,31
Siaurø elementø briaunavimas;18M11;0,64
Siaurø elementø briaunavimas;18M12;0,47
Siaurø elementø briaunavimas;19M01;0,56
Siaurø elementø briaunavimas;19M02;0,51
Siaurø elementø briaunavimas;19M03;0,69
Siaurø elementø briaunavimas;19M04;0,67
Siaurø elementø briaunavimas;19M05;0,99
Siaurø elementø briaunavimas;19M06;1,03
Siaurø elementø briaunavimas;19M07;1,15
Siaurø elementø briaunavimas;19M08;0,94
Plaèiø elementø græþimas;18M09;0,12
Plaèiø elementø græþimas;18M10;0,24
Plaèiø elementø græþimas;18M11;0,64
Plaèiø elementø græþimas;18M12;0,64
Plaèiø elementø græþimas;19M01;0,41
Plaèiø elementø græþimas;19M02;0,78
Plaèiø elementø græþimas;19M03;0,56
Plaèiø elementø græþimas;19M04;0,25
Plaèiø elementø græþimas;19M05;0,43
Plaèiø elementø græþimas;19M06;0,25
Plaèiø elementø græþimas;19M07;0,34
Plaèiø elementø græþimas;19M08;0,33
Plaèiø elementø briaunavimas;18M09;0,26
Plaèiø elementø briaunavimas;18M10;0,3
Plaèiø elementø briaunavimas;18M11;0,42
Plaèiø elementø briaunavimas;18M12;0,47
Plaèiø elementø briaunavimas;19M01;0,61
Plaèiø elementø briaunavimas;19M02;0,56
Plaèiø elementø briaunavimas;19M03;0,73
Plaèiø elementø briaunavimas;19M04;0,67
Plaèiø elementø briaunavimas;19M05;0,75
Plaèiø elementø briaunavimas;19M06;0,79
Plaèiø elementø briaunavimas;19M07;0,78
Plaèiø elementø briaunavimas;19M08;0,84
Pakavimas;18M09;0,62
Pakavimas;18M10;0,67
Pakavimas;18M11;0,99
Pakavimas;18M12;0,99
Pakavimas;19M01;0,99
Pakavimas;19M02;0,94
Pakavimas;19M03;1,06
Pakavimas;19M04;0,93
Pakavimas;19M05;0,91
Pakavimas;19M06;0,91
Pakavimas;19M07;0,99
Pakavimas;19M08;0,98
Ðonø tvërimas;18M09;0
Ðonø tvërimas;18M10;0
Ðonø tvërimas;18M11;0
Ðonø tvërimas;18M12;0
Ðonø tvërimas;19M01;0
Ðonø tvërimas;19M02;0
Ðonø tvërimas;19M03;0,8
Ðonø tvërimas;19M04;0,84
Ðonø tvërimas;19M05;0,99
Ðonø tvërimas;19M06;0,95
Ðonø tvërimas;19M07;0,93
Ðonø tvërimas;19M08;0,91
Key hole græþimas;18M09;0
Key hole græþimas;18M10;0
Key hole græþimas;18M11;0
Key hole græþimas;18M12;0
Key hole græþimas;19M01;0
Key hole græþimas;19M02;0
Key hole græþimas;19M03;0,47
Key hole græþimas;19M04;0,58
Key hole græþimas;19M05;0,65
Key hole græþimas;19M06;0,87
Key hole græþimas;19M07;0,92
Key hole græþimas;19M08;1,08
Wage dowel tvërimas;18M09;0
Wage dowel tvërimas;18M10;0
Wage dowel tvërimas;18M11;0
Wage dowel tvërimas;18M12;0
Wage dowel tvërimas;19M01;0
Wage dowel tvërimas;19M02;0
Wage dowel tvërimas;19M03;0,45
Wage dowel tvërimas;19M04;0,72
Wage dowel tvërimas;19M05;0,73
Wage dowel tvërimas;19M06;0,83
Wage dowel tvërimas;19M07;0,94
Wage dowel tvërimas;19M08;1,04
Plaèiø elementø briaunavimas græþimas;18M09;0,63
Plaèiø elementø briaunavimas græþimas;18M10;0,63
Plaèiø elementø briaunavimas græþimas;18M11;0,96
Plaèiø elementø briaunavimas græþimas;18M12;1,07
Plaèiø elementø briaunavimas græþimas;19M01;0,98
Plaèiø elementø briaunavimas græþimas;19M02;1,33
Plaèiø elementø briaunavimas græþimas;19M03;1,18
Plaèiø elementø briaunavimas græþimas;19M04;1,11
Plaèiø elementø briaunavimas græþimas;19M05;0,98
Plaèiø elementø briaunavimas græþimas;19M06;1,2
Plaèiø elementø briaunavimas græþimas;19M07;1,26
Plaèiø elementø briaunavimas græþimas;19M08;1,27
Pagalbiniai procesai*;18M09;0,13
Pagalbiniai procesai*;18M10;0,19
Pagalbiniai procesai*;18M11;0,05
Pagalbiniai procesai*;18M12;0,08
Pagalbiniai procesai*;19M01;0,16
Pagalbiniai procesai*;19M02;0,09
Pagalbiniai procesai*;19M03;0,15
Pagalbiniai procesai*;19M04;0,13
Pagalbiniai procesai*;19M05;0,1
Pagalbiniai procesai*;19M06;0,12
Pagalbiniai procesai*;19M07;0,13
Pagalbiniai procesai*;19M08;0,12
